timeseries,labels
1671452801858,0
1671452801869,0
1671452801870,0
1671452801871,0
1671452801872,0
1671452801873,0
1671452801873,0
1671452801874,0
1671452801875,0
1671452801875,0
1671452801876,0
1671452801877,0
1671452801877,0
1671452801878,0
1671452801879,0
1671452801879,0
1671452801880,0
1671452801881,0
1671452801881,0
1671452801882,0
1671452801883,0
1671452801883,0
1671452801884,0
1671452801885,0
1671452801885,0
1671452801886,0
1671452801887,0
1671452801888,0
1671452801889,0
1671452801891,0
1671452801892,0
1671452801892,0
1671452801893,0
1671452801894,0
1671452801896,0
1671452801897,0
1671452801897,0
1671452801898,0
1671452801899,0
1671452801900,0
1671452801901,0
1671452801901,0
1671452801902,0
1671452801903,0
1671452801904,0
1671452801969,0
1671452801978,0
1671452801979,0
1671452801980,0
1671452801980,0
1671452801981,0
1671452801982,0
1671452801982,0
1671452801983,0
1671452801983,0
1671452801984,0
1671452801985,0
1671452801985,0
1671452801986,0
1671452801987,0
1671452801988,0
1671452801989,0
1671452801989,0
1671452801990,0
1671452801991,0
1671452801991,0
1671452801992,0
1671452801992,0
1671452801993,0
1671452801994,0
1671452801994,0
1671452801995,0
1671452801995,0
1671452801996,0
1671452801996,0
1671452801997,0
1671452801997,0
1671452801998,0
1671452801999,0
1671452801999,0
1671452802000,0
1671452802000,0
1671452802001,0
1671452802001,0
1671452802002,0
1671452802003,0
1671452802003,0
1671452802004,0
1671452802004,0
1671452802005,0
1671452802057,0
1671452802068,0
1671452802068,0
1671452802069,0
1671452802070,0
1671452802071,0
1671452802072,0
1671452802073,0
1671452802074,0
1671452802074,0
1671452802075,0
1671452802076,0
1671452802078,0
1671452802079,0
1671452802079,0
1671452802080,0
1671452802081,0
1671452802082,0
1671452802082,0
1671452802083,0
1671452802083,0
1671452802084,0
1671452802085,0
1671452802085,0
1671452802086,0
1671452802087,0
1671452802088,0
1671452802088,0
1671452802089,0
1671452802090,0
1671452802091,0
1671452802092,0
1671452802092,0
1671452802093,0
1671452802094,0
1671452802095,0
1671452802095,0
1671452802096,0
1671452802097,0
1671452802097,0
1671452802098,0
1671452802099,0
1671452802100,0
1671452802101,0
1671452802102,0
1671452802160,0
1671452802171,0
1671452802171,0
1671452802172,0
1671452802172,0
1671452802173,0
1671452802174,0
1671452802174,0
1671452802175,0
1671452802176,0
1671452802177,0
1671452802178,0
1671452802178,0
1671452802179,0
1671452802180,0
1671452802180,0
1671452802181,0
1671452802182,0
1671452802183,0
1671452802183,0
1671452802184,0
1671452802184,0
1671452802185,0
1671452802186,0
1671452802187,0
1671452802187,0
1671452802188,0
1671452802189,0
1671452802190,0
1671452802190,0
1671452802191,0
1671452802191,0
1671452802192,0
1671452802193,0
1671452802194,0
1671452802195,0
1671452802196,0
1671452802197,0
1671452802197,0
1671452802198,0
1671452802199,0
1671452802200,0
1671452802201,0
1671452802201,0
1671452802202,0
1671452802259,0
1671452802269,0
1671452802270,0
1671452802271,0
1671452802271,0
1671452802272,0
1671452802273,0
1671452802273,0
1671452802274,0
1671452802275,0
1671452802275,0
1671452802276,0
1671452802276,0
1671452802277,0
1671452802278,0
1671452802279,0
1671452802279,0
1671452802280,0
1671452802280,0
1671452802281,0
1671452802282,0
1671452802282,0
1671452802283,0
1671452802284,0
1671452802284,0
1671452802285,0
1671452802286,0
1671452802286,0
1671452802287,0
1671452802288,0
1671452802288,0
1671452802289,0
1671452802289,0
1671452802290,0
1671452802291,0
1671452802291,0
1671452802292,0
1671452802293,0
1671452802293,0
1671452802294,0
1671452802294,0
1671452802295,0
1671452802296,0
1671452802296,0
1671452802297,0
1671452802346,0
1671452802356,0
1671452802357,0
1671452802357,0
1671452802358,0
1671452802358,0
1671452802359,0
1671452802360,0
1671452802360,0
1671452802361,0
1671452802362,0
1671452802362,0
1671452802363,0
1671452802364,0
1671452802364,0
1671452802365,0
1671452802366,0
1671452802366,0
1671452802367,0
1671452802367,0
1671452802368,0
1671452802368,0
1671452802369,0
1671452802370,0
1671452802370,0
1671452802371,0
1671452802371,0
1671452802372,0
1671452802373,0
1671452802373,0
1671452802374,0
1671452802375,0
1671452802375,0
1671452802376,0
1671452802376,0
1671452802377,0
1671452802377,0
1671452802378,0
1671452802379,0
1671452802379,0
1671452802380,0
1671452802380,0
1671452802381,0
1671452802381,0
1671452802382,0
1671452802432,0
1671452802440,0
1671452802441,0
1671452802442,0
1671452802442,0
1671452802443,0
1671452802443,0
1671452802444,0
1671452802444,0
1671452802445,0
1671452802445,0
1671452802446,0
1671452802446,0
1671452802447,0
1671452802447,0
1671452802448,0
1671452802449,0
1671452802449,0
1671452802450,0
1671452802450,0
1671452802451,0
1671452802452,0
1671452802452,0
1671452802453,0
1671452802453,0
1671452802454,0
1671452802455,0
1671452802455,0
1671452802457,0
1671452802458,0
1671452802458,0
1671452802458,0
1671452802459,0
1671452802460,0
1671452802460,0
1671452802461,0
1671452802461,0
1671452802462,0
1671452802463,0
1671452802463,0
1671452802464,0
1671452802464,0
1671452802465,0
1671452802465,0
1671452802466,0
1671452802519,0
1671452802531,0
1671452802532,0
1671452802532,0
1671452802533,0
1671452802534,0
1671452802535,0
1671452802536,0
1671452802536,0
1671452802537,0
1671452802538,0
1671452802539,0
1671452802539,0
1671452802540,0
1671452802541,0
1671452802541,0
1671452802542,0
1671452802543,0
1671452802543,0
1671452802544,0
1671452802545,0
1671452802546,0
1671452802547,0
1671452802548,0
1671452802548,0
1671452802549,0
1671452802550,0
1671452802551,0
1671452802551,0
1671452802552,0
1671452802553,0
1671452802554,0
1671452802554,0
1671452802555,0
1671452802556,0
1671452802557,0
1671452802558,0
1671452802559,0
1671452802560,0
1671452802561,0
1671452802562,0
1671452802563,0
1671452802564,0
1671452802565,0
1671452802566,0
1671452802634,0
1671452802646,0
1671452802647,0
1671452802648,0
1671452802649,0
1671452802650,0
1671452802650,0
1671452802651,0
1671452802652,0
1671452802653,0
1671452802654,0
1671452802654,0
1671452802655,0
1671452802656,0
1671452802657,0
1671452802658,0
1671452802658,0
1671452802659,0
1671452802660,0
1671452802661,0
1671452802661,0
1671452802662,0
1671452802663,0
1671452802664,0
1671452802664,0
1671452802665,0
1671452802666,0
1671452802667,0
1671452802668,0
1671452802669,0
1671452802670,0
1671452802670,0
1671452802671,0
1671452802672,0
1671452802673,0
1671452802674,0
1671452802675,0
1671452802675,0
1671452802676,0
1671452802677,0
1671452802678,0
1671452802679,0
1671452802680,0
1671452802680,0
1671452802681,0
1671452802748,0
1671452802760,0
1671452802761,0
1671452802762,0
1671452802763,0
1671452802764,0
1671452802765,0
1671452802765,0
1671452802766,0
1671452802767,0
1671452802768,0
1671452802769,0
1671452802770,0
1671452802771,0
1671452802772,0
1671452802773,0
1671452802774,0
1671452802775,0
1671452802775,0
1671452802775,0
1671452802777,0
1671452802777,0
1671452802778,0
1671452802779,0
1671452802780,0
1671452802780,0
1671452802781,0
1671452802782,0
1671452802783,0
1671452802783,0
1671452802784,0
1671452802785,0
1671452802785,0
1671452802786,0
1671452802786,0
1671452802787,0
1671452802788,0
1671452802788,0
1671452802789,0
1671452802790,0
1671452802791,0
1671452802791,0
1671452802792,0
1671452802793,0
1671452802794,0
1671452802858,0
1671452802870,0
1671452802871,0
1671452802871,0
1671452802872,0
1671452802873,0
1671452802873,0
1671452802874,0
1671452802875,0
1671452802875,0
1671452802876,0
1671452802878,0
1671452802879,0
1671452802880,0
1671452802881,0
1671452802882,0
1671452802883,0
1671452802884,0
1671452802885,0
1671452802886,0
1671452802887,0
1671452802888,0
1671452802889,0
1671452802890,0
1671452802891,0
1671452802891,0
1671452802892,0
1671452802892,0
1671452802893,0
1671452802894,0
1671452802895,0
1671452802895,0
1671452802896,0
1671452802897,0
1671452802898,0
1671452802898,0
1671452802899,0
1671452802899,0
1671452802900,0
1671452802901,0
1671452802901,0
1671452802902,0
1671452802903,0
1671452802903,0
1671452802904,0
1671452802961,0
1671452802972,0
1671452802972,0
1671452802972,0
1671452802972,0
1671452802974,0
1671452802974,0
1671452802974,0
1671452802976,0
1671452802976,0
1671452802976,0
1671452802977,0
1671452802977,0
1671452802978,0
1671452802979,0
1671452802979,0
1671452802980,0
1671452802980,0
1671452802981,0
1671452802981,0
1671452802982,0
1671452802983,0
1671452802984,0
1671452802984,0
1671452802985,0
1671452802985,0
1671452802986,0
1671452802987,0
1671452802987,0
1671452802987,0
1671452802988,0
1671452802989,0
1671452802989,0
1671452802990,0
1671452802991,0
1671452802991,0
1671452802992,0
1671452802993,0
1671452802993,0
1671452802994,0
1671452802995,0
1671452802996,0
1671452802996,0
1671452802997,0
1671452802997,0
1671452803053,0
1671452803063,0
1671452803064,0
1671452803065,0
1671452803065,0
1671452803065,0
1671452803066,0
1671452803067,0
1671452803068,0
1671452803068,0
1671452803069,0
1671452803070,0
1671452803070,0
1671452803071,0
1671452803072,0
1671452803072,0
1671452803073,0
1671452803074,0
1671452803074,0
1671452803075,0
1671452803075,0
1671452803076,0
1671452803077,0
1671452803078,0
1671452803078,0
1671452803079,0
1671452803079,0
1671452803080,0
1671452803081,0
1671452803081,0
1671452803082,0
1671452803082,0
1671452803083,0
1671452803084,0
1671452803084,0
1671452803085,0
1671452803085,0
1671452803086,0
1671452803087,0
1671452803087,0
1671452803088,0
1671452803088,0
1671452803089,0
1671452803089,0
1671452803090,0
1671452803146,0
1671452803155,0
1671452803156,0
1671452803156,0
1671452803157,0
1671452803157,0
1671452803158,0
1671452803159,0
1671452803159,0
1671452803160,0
1671452803160,0
1671452803161,0
1671452803162,0
1671452803162,0
1671452803163,0
1671452803163,0
1671452803164,0
1671452803165,0
1671452803165,0
1671452803165,0
1671452803166,0
1671452803167,0
1671452803167,0
1671452803168,0
1671452803168,0
1671452803169,0
1671452803169,0
1671452803170,0
1671452803171,0
1671452803171,0
1671452803172,0
1671452803173,0
1671452803173,0
1671452803174,0
1671452803174,0
1671452803175,0
1671452803175,0
1671452803176,0
1671452803176,0
1671452803177,0
1671452803177,0
1671452803178,0
1671452803178,0
1671452803179,0
1671452803179,0
1671452803238,0
1671452803248,0
1671452803248,0
1671452803249,0
1671452803249,0
1671452803250,0
1671452803250,0
1671452803251,0
1671452803252,0
1671452803252,0
1671452803253,0
1671452803253,0
1671452803254,0
1671452803255,0
1671452803255,0
1671452803256,0
1671452803257,0
1671452803257,0
1671452803258,0
1671452803259,0
1671452803259,0
1671452803260,0
1671452803260,0
1671452803261,0
1671452803262,0
1671452803262,0
1671452803263,0
1671452803264,0
1671452803264,0
1671452803265,0
1671452803265,0
1671452803266,0
1671452803267,0
1671452803268,0
1671452803268,0
1671452803269,0
1671452803269,0
1671452803270,0
1671452803271,0
1671452803271,0
1671452803272,0
1671452803273,0
1671452803273,0
1671452803274,0
1671452803274,0
1671452803333,1
1671452803344,1
1671452803345,1
1671452803345,1
1671452803345,1
1671452803346,1
1671452803346,1
1671452803347,1
1671452803347,1
1671452803349,1
1671452803349,1
1671452803350,1
1671452803351,1
1671452803351,1
1671452803352,1
1671452803353,1
1671452803353,1
1671452803354,1
1671452803355,1
1671452803355,1
1671452803355,1
1671452803355,1
1671452803357,1
1671452803357,1
1671452803358,1
1671452803359,1
1671452803359,1
1671452803360,1
1671452803361,1
1671452803361,1
1671452803362,1
1671452803362,1
1671452803363,1
1671452803364,1
1671452803364,1
1671452803365,1
1671452803365,1
1671452803366,1
1671452803367,1
1671452803367,1
1671452803368,1
1671452803368,1
1671452803369,1
1671452803370,1
1671452803370,1
1671452803430,1
1671452803439,1
1671452803440,1
1671452803441,1
1671452803441,1
1671452803442,1
1671452803443,1
1671452803443,1
1671452803444,1
1671452803444,1
1671452803445,1
1671452803446,1
1671452803446,1
1671452803447,1
1671452803448,1
1671452803448,1
1671452803448,1
1671452803449,1
1671452803450,1
1671452803450,1
1671452803451,1
1671452803452,1
1671452803452,1
1671452803453,1
1671452803453,1
1671452803454,1
1671452803455,1
1671452803456,1
1671452803456,1
1671452803457,1
1671452803457,1
1671452803458,1
1671452803458,1
1671452803459,1
1671452803460,1
1671452803460,1
1671452803461,1
1671452803461,1
1671452803462,1
1671452803462,1
1671452803463,1
1671452803464,1
1671452803464,1
1671452803465,1
1671452803466,1
1671452803532,0
1671452803543,0
1671452803544,0
1671452803544,0
1671452803545,0
1671452803545,0
1671452803546,0
1671452803547,0
1671452803547,0
1671452803548,0
1671452803548,0
1671452803549,0
1671452803550,0
1671452803550,0
1671452803551,0
1671452803552,0
1671452803552,0
1671452803553,0
1671452803554,0
1671452803554,0
1671452803555,0
1671452803556,0
1671452803557,0
1671452803557,0
1671452803558,0
1671452803558,0
1671452803559,0
1671452803560,0
1671452803560,0
1671452803561,0
1671452803562,0
1671452803562,0
1671452803563,0
1671452803563,0
1671452803564,0
1671452803565,0
1671452803565,0
1671452803566,0
1671452803567,0
1671452803567,0
1671452803568,0
1671452803569,0
1671452803569,0
1671452803570,0
1671452803571,0
1671452803641,0
1671452803650,0
1671452803651,0
1671452803651,0
1671452803652,0
1671452803653,0
1671452803653,0
1671452803654,0
1671452803655,0
1671452803655,0
1671452803656,0
1671452803657,0
1671452803657,0
1671452803658,0
1671452803658,0
1671452803659,0
1671452803660,0
1671452803660,0
1671452803661,0
1671452803661,0
1671452803662,0
1671452803662,0
1671452803663,0
1671452803663,0
1671452803664,0
1671452803665,0
1671452803665,0
1671452803666,0
1671452803666,0
1671452803666,0
1671452803667,0
1671452803668,0
1671452803668,0
1671452803669,0
1671452803669,0
1671452803670,0
1671452803670,0
1671452803671,0
1671452803671,0
1671452803672,0
1671452803672,0
1671452803673,0
1671452803673,0
1671452803674,0
1671452803674,0
1671452803737,0
1671452803747,0
1671452803747,0
1671452803748,0
1671452803748,0
1671452803749,0
1671452803750,0
1671452803750,0
1671452803751,0
1671452803752,0
1671452803752,0
1671452803753,0
1671452803754,0
1671452803754,0
1671452803755,0
1671452803756,0
1671452803756,0
1671452803757,0
1671452803757,0
1671452803758,0
1671452803758,0
1671452803759,0
1671452803760,0
1671452803761,0
1671452803762,0
1671452803763,0
1671452803764,0
1671452803764,0
1671452803766,0
1671452803767,0
1671452803768,0
1671452803769,0
1671452803770,0
1671452803771,0
1671452803772,0
1671452803773,0
1671452803774,0
1671452803774,0
1671452803775,0
1671452803775,0
1671452803776,0
1671452803777,0
1671452803777,0
1671452803778,0
1671452803778,0
1671452803846,0
1671452803856,0
1671452803857,0
1671452803858,0
1671452803858,0
1671452803859,0
1671452803860,0
1671452803860,0
1671452803861,0
1671452803862,0
1671452803862,0
1671452803863,0
1671452803864,0
1671452803864,0
1671452803865,0
1671452803866,0
1671452803866,0
1671452803867,0
1671452803868,0
1671452803868,0
1671452803869,0
1671452803870,0
1671452803871,0
1671452803872,0
1671452803873,0
1671452803874,0
1671452803874,0
1671452803875,0
1671452803876,0
1671452803876,0
1671452803877,0
1671452803877,0
1671452803878,0
1671452803878,0
1671452803879,0
1671452803880,0
1671452803880,0
1671452803881,0
1671452803882,0
1671452803882,0
1671452803883,0
1671452803883,0
1671452803884,0
1671452803885,0
1671452803886,0
1671452803950,1
1671452803959,1
1671452803960,1
1671452803960,1
1671452803962,1
1671452803962,1
1671452803962,1
1671452803963,1
1671452803963,1
1671452803964,1
1671452803965,1
1671452803965,1
1671452803966,1
1671452803967,1
1671452803967,1
1671452803968,1
1671452803969,1
1671452803969,1
1671452803970,1
1671452803970,1
1671452803971,1
1671452803972,1
1671452803973,1
1671452803973,1
1671452803974,1
1671452803974,1
1671452803975,1
1671452803975,1
1671452803977,1
1671452803978,1
1671452803978,1
1671452803979,1
1671452803980,1
1671452803981,1
1671452803981,1
1671452803982,1
1671452803983,1
1671452803983,1
1671452803984,1
1671452803984,1
1671452803985,1
1671452803987,1
1671452803987,1
1671452803988,1
1671452803988,1
